Indicator,Year,Value,Unit,Confidence,RawText,DisplayValue,Source,Method,CanonicalIndicator,Category,Canonical Name,Indicator Name,FileRef,page_content,SourceURL
Gross Fixed Capital Formation,2025,2024.0,,85,"Strengthening Project Approved on May 28, 2025 Principal US $ 108,000,000 US$ 108 M Tunisia Energy Reliability, Efficiency, and Governance Improvement Program (TEREG) Approved on Apr 29, 2025 Principal US $ 400,000,000 US$ 400 M Strengthening Tertiary Education for Employability Innovation and Resilience Approved on Feb 27, 2025 Principal US $ 100,000,000 US$ 100 M Tunisia Emergency Food Security Response Project Approved on Mar 14, 2024 Principal US $ 300,000,000 US$ 300 M Projects Explore the Data For project information IBRD and IDA discloses on a daily basis, please refer to the Investment Total Board Approval Amounts US$ 640 M # of Projects 23 Advisory Total Estimated Budgets US$ 19 M # of Projects 19 Recently Disclosed Investments La Joie de Hicha SA Approved on Oct 30, 2024 Total IFC Investment as approved by Board US $ 42,380,000 US$ 42 M Kairouan Solar Plant Approved on Dec 22, 2022 Total IFC Investment as approved by Board US $ 18,700,000 US$ 19 M CHO Tunisia II Approved on Jun 10, 2021 Total IFC Investment as approved by Board US $ 26,640,000 US$ 27 M ENDA SL IV Approved on Dec 09, 2020 Total IFC Investment as approved by Board US $ 11,990,000 US$ 12 M Projects Explore the Data For project information IFC discloses on a daily basis, please refer to the Guarantees Total Disclosed Projects US$ 270 M # of Projects 6 Recently Disclosed Projects Scatec Tozeur PV Power As of Jul 30, 2025 Gross Exposure US $ 10,148,146 US$ 10 M Scatec Sidi Bouzid Mezzouna PV Power As of Jul 30, 2025 Gross Exposure US $ 9,750,179 US$ 10 M Kairouan Solar Plant S.A.","2,024",financesone.worldbank.org,Alias,Gross Fixed Capital Formation,Investment,Gross Fixed Capital Formation,Gross Fixed Capital Formation,,,
Population,2017,2016.0,,85,Themes : Agriculture Climatology Foreign Trade Nation account Culture Education Energy Environment Industry Justice Money and finance Population Price Wages Health Tourism Transport Related publications Statistical yearbook Tunisia 2017-2021 Read More Statistical yearbook Tunisia 2016-2020 Read More Statistical yearbook Tunisia 2015-2019 Read More Statistical yearbook Tunisia 2014-2018 Read More Statistical yearbook Tunisia 2012-2016 Read More Statistical yearbook Tunisia 2011-2015 Read More,"2,016",ins.tn,Alias,Population,Demographics,Population,Population,,,
Householders (housing),2014,2015.0,,85,"The poverty indicators presented in this report were calculated on the basis of data from the General Census of Population and Housing (RGPH) of 2014 and the National Survey on Budget, Consumption and Living Standards of households (ENBCNV 2015).","2,015",ins.tn,Alias,Householders (housing),Households,Householders (housing),Householders (housing),,,
Current Account Balance,2024,6.3,%,100,"While the fiscal deficit eased to 6.3% of GDP in 2024, it remains higher than the 2019 level (2.9%).",6.3 %,worldbank.org,Alias,Current Account Balance,Trade,Current Account Balance,Current Account Balance,,,
Public Debt (% Of Gdp),2019,67.8,%,100,"Public debt rose from 67.8% of GDP in 2019 to 81.2% in 2024, with gross financing needs increasing from 7.9% to 16.0%, largely due to debt amortization.",67.8 %,worldbank.org,Alias,Public Debt (% Of Gdp),National Accounts,Public Debt (% Of Gdp),Public Debt (% Of Gdp),,,
Unemployment Rate,2024,16.0,%,100,"The unemployment rate rose slightly to 16% in Q3 2024 (from 15.8% in 2023), while labor force participation remains about 1.2 percentage points below pre-COVID levels.",16.0 %,worldbank.org,Alias,Unemployment Rate,Employment,Unemployment Rate,Unemployment Rate,,,
Gross Domestic Product (gdp) At Market Prices,2020,8.8,%,100,Recent Developments Real GDP contracted by 8.8% in 2020 as sharp declines in domestic and external demand followed the pandemic.,8.8 %,worldbank.org,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Unemployment Rate,2020,17.4,%,100,"This has had a knock-on effect on unemployment, which stood at 17.4% by end 2020, compared with 14.9% pre-pandemic.",17.4 %,worldbank.org,Alias,Unemployment Rate,Employment,Unemployment Rate,Unemployment Rate,,,
Unemployment Rate,2020,14.9,%,100,"This has had a knock-on effect on unemployment, which stood at 17.4% by end 2020, compared with 14.9% pre-pandemic.",14.9 %,worldbank.org,Alias,Unemployment Rate,Employment,Unemployment Rate,Unemployment Rate,,,
Merchandise Exports (current Usd),2021,4.0,%,100,Outlook Growth in Tunisia is temporarily expected to accelerate to 4% in 2021 as the pandemic’s effects on exports begin to abate and domestic demand begins to recover.,4.0 %,worldbank.org,Alias,Merchandise Exports (current Usd),Trade,Merchandise Exports (current Usd),Merchandise Exports (current Usd),,,
Gross Domestic Product (gdp) At Market Prices,2020,9.2,%,100,"The economic rebound was relatively modest considering the strong GDP contraction of 9.2% in 2020, the sharpest in the MENA region.",9.2 %,worldbank.org,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Unemployment Rate,2021,18.4,%,100,The already high unemployment rate reached 18.4% by the 3rd quarter of 2021 combined with a slight reduction in labor force participation.,18.4 %,worldbank.org,Alias,Unemployment Rate,Employment,Unemployment Rate,Unemployment Rate,,,
Current Account Balance,2022,56.0,%,100,"The impact of the war began to be felt as the trade deficit widened by 56 percent in the first six months of 2022, reaching 8.1%of GDP.",56.0 %,worldbank.org,Alias,Current Account Balance,Trade,Current Account Balance,Current Account Balance,,,
Inflation,2022,6.7,%,100,"Inflation rose from 6.7% in January 2022 to 8.1% in June 2022; and the budget deficit is forecast to reach 9.1% in 2022, compared to 7.4% in 2021.",6.7 %,worldbank.org,Alias,Inflation,Prices,Inflation,Inflation,,,
Inflation,2022,7.4,%,100,"Inflation rose from 6.7% in January 2022 to 8.1% in June 2022; and the budget deficit is forecast to reach 9.1% in 2022, compared to 7.4% in 2021.",7.4 %,worldbank.org,Alias,Inflation,Prices,Inflation,Inflation,,,
Public Administration,2022,8.1,%,100,"Inflation rose from 6.7% in January 2022 to 8.1% in June 2022; and the budget deficit is forecast to reach 9.1% in 2022, compared to 7.4% in 2021.",8.1 %,worldbank.org,Alias,Public Administration,Finance,Public Administration,Public Administration,,,
Gross Domestic Product (gdp) At Market Prices,2023,2.3,%,100,"Published under the title Reforming Energy Subsidies for a More Sustainable Tunisia , the report forecasts Tunisia's GDP growth for 2023 to be around 2.3 percent, subject to significant uncertainty and depending on the progress of financing conditions and structural reforms.",2.3 %,worldbank.org,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Inflation,2023,10.4,%,100,"Inflation, meanwhile, has slowed, with year-on-year price inflation decreasing from 10.4 percent in February 2023 to 9.0 percent in September 2023.",10.4 %,worldbank.org,Alias,Inflation,Prices,Inflation,Inflation,,,
Current Account Balance,2021,7.6,%,100,"The report outlines how the weak recovery puts pressure on Tunisia’s already strained public finances, with the budget deficit still elevated at 7.6% in 2021, despite a small contraction from 9.4% in 2020.",7.6 %,worldbank.org,Alias,Current Account Balance,Trade,Current Account Balance,Current Account Balance,,,
Current Account Balance,2022,5.0,%,100,"The budget deficit is projected to gradually decline, reaching 5% to 7% of GDP in 2022-23, given the expected reduction in health-related expenditures and provided that the moderately positive spending and revenue trajectory is maintained.",5.0 %,worldbank.org,Alias,Current Account Balance,Trade,Current Account Balance,Current Account Balance,,,
Public Administration,2022,7.0,%,100,"The budget deficit is projected to gradually decline, reaching 5% to 7% of GDP in 2022-23, given the expected reduction in health-related expenditures and provided that the moderately positive spending and revenue trajectory is maintained.",7.0 %,worldbank.org,Alias,Public Administration,Finance,Public Administration,Public Administration,,,
